Email_ID,Subject,Email_Text
C001,"Scarf order bro","Hey 😄 I saw ACC101 (Cotton Scarf) is in stock. Looks really good ngl 🔥 I wanna order it for daily use. Please ship asap 👍"
C002,"Bedsheet issue","Yo 😑 I ordered HOM401 (Cotton Bedsheet) and the stitching quality feels weak. Not what I expected honestly. Need replacement or refund"
C003,"Winter jacket check","Hey ❄️ OUT303 (Winter Jacket) is available right? Winter is crazy cold rn 😂 I need it fast pls confirm stock"
C004,"Order delay","Yo 😤 I placed an order like 5 days ago and still no update. What’s going on? Need tracking ASAP"
C005,"Denim jeans","Hey 👖 CLO203 (Denim Jeans) looks fire 🔥 I want it for casual wear. Please confirm size M availability"
C006,"Wrong item received","Yo 😡 I got ACC102 (Silk Scarf) but it’s totally wrong item. This is not what I ordered, fix it pls"
C007,"Hoodie order","Hey 🧥 OUT304 (Hoodie) still in stock? Looks clean 😎 I wanna order it for winter chill vibes"
C008,"Full stock inquiry","Yo 👋 you guys got full sizes available or nah? I might bulk order some stuff"
C009,"Blanket needed ASAP","Hey ❄️ HOM403 (Winter Blanket) I need it urgent bro 🥶 it’s freezing here. Please confirm delivery time"
C010,"Payment failed","Yo 💳 I tried paying 3 times but it keeps failing lol. Fix this payment bug pls"
C011,"Formal shirt order","Hey 👔 CLO202 (Formal Shirt) is in stock right? I need it for office meetings. Looks pretty solid 👍"
C012,"Kurta return","Yo 😕 TRD501 (Kurta) is too tight man. I need exchange or return option pls"
C013,"Scarf looks nice","Hey 🌸 ACC101 (Cotton Scarf) looks really nice ngl 😄 I wanna order 2 pieces if possible"
C014,"Address change","Yo 🚚 I entered wrong address while ordering. Can you change it before dispatch?"
C015,"Suit order","Hey 👗 TRD503 (Embroidered Suit) is available? I need it for a wedding event coming soon"
C016,"Late delivery again","Yo 😤 second time my order is late. Not happy with delivery speed tbh"
C017,"Jeans sizing issue","Hey 👖 CLO203 jeans fit is weird. I ordered L but feels smaller. Need help"
C018,"Scarf bulk order","Yo 😄 I want ACC101 in bulk like 5 pieces. Any discount available?"
C019,"Jacket inquiry","Hey ❄️ OUT303 jacket still available? I need XL size pls confirm"
C020,"Bedsheet color issue","Yo 😑 I got wrong color for HOM402. I ordered blue but got grey lol"
C021,"Hoodie review","Hey 🧥 Hoodie OUT304 is actually nice 🔥 soft material, just wanted to say good job"
C022,"Payment confusion","Yo 💳 money got deducted but order not confirmed. What’s happening?"
C023,"Kurta size issue","Hey 😕 TRD501 is nice but size mismatch. Need exchange asap"
C024,"Scarf love","Hey 🌸 ACC101 is actually fire 🔥 I liked it so much I’m ordering again"
C025,"Delivery too slow","Yo 😤 delivery taking too long bro, like seriously need faster shipping"
C026,"Blanket order","Hey ❄️ HOM403 I need 2 blankets pls. Winter is killing me 🥶"
C027,"Shirt order","Hey 👔 CLO202 formal shirt looks clean. I want 1 medium size pls"
C028,"Wrong product again","Yo 😡 this is second time wrong item came. Not cool man"
C029,"Suit inquiry","Hey 👗 TRD503 available in medium size? I need it urgently"
C030,"Stock check","Yo 👋 do you still have full stock of clothes or everything running low?"
C031,"Scarf order again","Hey 😄 ACC101 is nice, I want another one in different color"
C032,"Jacket urgency","Hey ❄️ OUT303 I need it ASAP bro, weather is crazy cold rn"
C033,"Jeans order","Yo 👖 CLO203 looks solid 🔥 I want to order size 32"
C034,"Bedsheet complaint","Hey 😑 stitching issue in HOM401 again, quality not matching price"
C035,"Hoodie feedback","Hey 🧥 Hoodie is actually comfy 😎 happy with it"
C036,"Payment issue again","Yo 💳 payment stuck again, can someone fix this pls"
C037,"Kurta order","Hey 👕 TRD501 I want 2 pieces for Eid season"
C038,"Scarf bulk","Yo 😄 ACC101 give me price for 10 pieces bulk order"
C039,"Delivery update","Hey 🚚 where is my order? no tracking update since days"
C040,"Blanket urgent","Yo ❄️ need HOM403 ASAP bro it’s freezing here 🥶"
C041,"Shirt sizing","Hey 👔 CLO202 size issue, need exchange pls"
C042,"Suit order fast","Hey 👗 TRD503 need it before weekend pls confirm fast"
C043,"Hoodie order","Yo 🧥 OUT304 still available? I want black color"
C044,"Jeans return","Hey 😕 CLO203 not fitting well, need return option"
C045,"Scarf review","Hey 🌸 ACC101 is actually nice quality ngl 🔥"
C046,"Order missing","Yo 😡 one item missing from my package, check pls"
C047,"Stock question","Hey 👋 do you restock fast or should I wait?"
C048,"Kurta feedback","Hey 👕 TRD501 fabric is good 👍 happy with purchase"
C049,"Blanket order again","Yo ❄️ HOM403 need 3 pieces now, family demand 😂"
C050,"Final order","Hey 😄 placing final order for CLO202 formal shirt. Please process quickly 👍"
