Product_ID,Product_Name,Category,Description,Stock,Season,Price
ACC101,Cotton Scarf,Accessories,"Soft breathable cotton scarf in multiple colors, perfect for daily casual wear comfort and style",120,Winter,15
ACC102,Silk Scarf,Accessories,"Elegant silk scarf with smooth texture and vibrant patterns, ideal for formal occasions and style",0,Winter,35.5
ACC103,Dupatta Classic,Accessories,"Lightweight dupatta with traditional prints, enhancing outfits with elegance and cultural charm",140,All,18.75
ACC104,Designer Scarf,Accessories,"Stylish designer scarf made with premium fabric, suitable for casual and formal wear both",90,Winter,28.4
CLO201,Casual T-Shirt,Clothing,"Comfortable cotton t-shirt with modern fit, suitable for everyday casual wear in all seasons",150,Summer,20.99
CLO202,Formal Shirt,Clothing,"Stylish formal shirt made from premium fabric, perfect for office wear and special occasions",0,All,30.5
CLO203,Denim Jeans,Clothing,"Durable denim jeans with modern design, offering comfort, flexibility, and long-lasting wear",95,All,50
CLO204,Summer Kurti,Clothing,"Lightweight kurti designed for summer wear, providing comfort and breathable fabric all day long",20,Summer,27.25
CLO205,Polo Shirt,Clothing,"Classic polo shirt with soft fabric, suitable for semi-formal and casual everyday styling",100,All,22.8
OUT301,Wool Shawl,Outerwear,"Warm wool shawl designed for cold weather, offering comfort, durability, and stylish appearance",100,Winter,25
OUT302,Premium Shawl,Outerwear,"High-quality designer shawl with fine fabric, providing warmth and luxury feel in winter season",0,Winter,45.9
OUT303,Winter Jacket,Outerwear,"Insulated winter jacket with high-quality material, providing warmth and protection in cold days",55,Winter,120.75
OUT304,Hoodie,Outerwear,"Soft fleece hoodie with adjustable hood, ideal for casual wear and light winter protection",15,Winter,45
OUT305,Coat,Outerwear,"Elegant winter coat designed for extreme cold, combining fashion with warmth and durability",60,Winter,95.6
HOM401,Cotton Bedsheet,Home Textile,"Soft cotton bedsheet set with breathable fabric, ensuring comfort and durability for daily use",90,All,40
HOM402,Summer Bedsheet,Home Textile,"Lightweight bedsheet with cooling fabric, ideal for hot weather and comfortable summer sleeping",5,Summer,35.25
HOM403,Winter Blanket,Home Textile,"Thick and cozy blanket designed for extreme cold, providing warmth and softness for better sleep",60,Winter,80
HOM404,Pillow Covers,Home Textile,"Soft pillow covers with stylish design, adding comfort and aesthetic appeal to bedroom setup",10,All,15.5
HOM405,Quilt Set,Home Textile,"Premium quilt set offering warmth and elegance, perfect for enhancing bedroom comfort in winter",70,Winter,65.9
TRD501,Kurta,Traditional,"Traditional kurta with elegant design and breathable fabric, suitable for cultural events wear",75,All,25
TRD502,Lawn Suit,Traditional,"Three-piece lawn suit with soft fabric, perfect for summer wear with comfort and elegant design",65,Summer,60.5
TRD503,Embroidered Suit,Traditional,"Beautiful embroidered suit with detailed craftsmanship, ideal for festive and formal occasions",0,All,85.75
TRD504,Shalwar Kameez,Traditional,"Classic shalwar kameez made with high-quality fabric, ensuring comfort and traditional style",90,All,55.2
TRD505,Wedding Dress,Traditional,"Luxury wedding dress with intricate design, crafted for special occasions and premium look",20,All,250.99
